,pop_F,pop_M,pop_MF,hholds,fullname,leaf_value1
2065,35462,34254,69716,27009,อภ.ศรีสัชนาลัย,1
2066,18113,18672,36785,9618,อภ.ศรีสาคร,1
2067,31916,29412,61328,22617,อภ.ศรีสำโรง,1
2068,11878,11600,23478,7449,อภ.ศรีเชียงใหม่,1
2069,28597,28206,56803,19738,อภ.ศรีเทพ,1
2070,33205,33698,66903,19482,อภ.ศรีเมืองใหม่,1
2071,9807,9927,19734,5400,อภ.ศิลาลาด,1
2072,65502,64631,130133,32736,อภ.ศีขรภูมิ,1
2073,49488,49296,98784,27374,อภ.สตึก,1
2074,23060,21973,45033,13893,อภ.สทิงพระ,1
2075,19153,19387,38540,10835,อภ.สนม,1
2076,35317,35446,70763,23119,อภ.สนามชัยเขต,1
2077,10744,10404,21148,6655,อภ.สบปราบ,1
2078,22947,23647,46594,17359,อภ.สบเมย,1
2079,27793,27250,55043,17833,อภ.สมเด็จ,1
2080,31664,29154,60818,22304,อภ.สรรคบุรี,1
2081,15836,14817,30653,11765,อภ.สรรพยา,1
2082,6944,7104,14048,5293,อภ.สระโบสถ์,1
2083,13210,13355,26565,8427,อภ.สระใคร,1
2084,10947,10985,21932,6625,อภ.สร้างคอม,1
2085,22479,24429,46908,14759,อภ.สวนผึ้ง,1
2086,26049,24021,50070,20207,อภ.สวรรคโลก,1
2087,35166,34801,69967,32624,อภ.สวี,1
2088,15534,15619,31153,9269,อภ.สว่างวีระวงศ์,1
2089,14980,14934,29914,11077,อภ.สว่างอารมณ์,1
2090,64339,63496,127835,37531,อภ.สว่างแดนดิน,1
2091,17423,17201,34624,10448,อภ.สหัสขันธ์,1
2092,21462,20578,42040,16235,อภ.สอง,1
2093,56265,54092,110357,36313,อภ.สองพี่น้อง,1
2094,6026,6440,12466,3849,อภ.สองแคว,1
2095,18636,18910,37546,15141,อภ.สอยดาว,1
2096,39069,40000,79069,19490,อภ.สะบ้าย้อย,1
